Tournament,Event,Bracket_Round,Player 1 Name,Player 2 Name,Player 1 Characters,Player 2 Characters
Fall NUT '22 W5,Ultimate Singles,Winners Round 1,Justinian,Uno,"Wolf, Corrin",Samus
Fall NUT '22 W5,Ultimate Singles,Winners Round 1,Poof!,Weegee,R.O.B.,Jigglypuff
Fall NUT '22 W5,Ultimate Singles,Winners Round 2,CBK,Queen,Zelda,Peach
Fall NUT '22 W5,Ultimate Singles,Winners Round 2,Blu.J,QualityQ,Falco,Isabelle
Fall NUT '22 W5,Ultimate Singles,Winners Round 2,Big Money Paul,Jamar,Pikachu,Donkey Kong
Fall NUT '22 W5,Ultimate Singles,Winners Round 3,Coronet,lunartear,Wolf,Pyra & Mythra
Fall NUT '22 W5,Ultimate Singles,Winners Round 3,Poppy,Big Money Paul,Pokemon Trainer,Pikachu
Fall NUT '22 W5,Ultimate Singles,Winners Round 3,B3nan,Dan,Pichu,Jigglypuff
Fall NUT '22 W5,Ultimate Singles,Winners Quarters,Roka,Queso,Greninja,Falco
Fall NUT '22 W5,Ultimate Singles,Winners Quarters,lunartear,Poppy,Pyra & Mythra,Pokemon Trainer
Fall NUT '22 W5,Ultimate Singles,Winners Quarters,B3nan,Caprisun,Steve,Captain Falcon
Fall NUT '22 W5,Ultimate Singles,Winners Semis,lunartear,CBK,Pyra & Mythra,Zelda
Fall NUT '22 W5,Ultimate Singles,Winners Semis,Roka,B3nan,Greninja,Steve
Fall NUT '22 W5,Ultimate Singles,Winners Final,CBK,Roka,Zelda. Pyra & Mythra,Greninja
Fall NUT '22 W5,Ultimate Singles,Losers Semis,B3nan,Flax,Pichu,PAC-MAN
Fall NUT '22 W5,Ultimate Singles,Losers Final,B3nan,CBK,Pichu,Zelda
Fall NUT '22 W5,Ultimate Singles,Grand Final,Roka,CBK,Greninja,"Zelda, Pyra & Mythra"
