Tournament,Event,Bracket_Round,Player 1 Name,Player 2 Name,Player 1 Characters,Player 2 Characters
Spring NUT '23 Week 2,Ultimate Singles,Winners Quarters,Gob,Joey Cannoli,Lucas,Mario
Spring NUT '23 Week 2,Ultimate Singles,Winners Round 3,Gob,Kaddical,Lucas,Link
Spring NUT '23 Week 2,Ultimate Singles,Winners Round 2,Dan,Jamar,Donkey Kong,Donkey Kong
Spring NUT '23 Week 2,Ultimate Singles,Losers Final,Gob,KindOfIce,Lucas,Hero
Spring NUT '23 Week 2,Ultimate Singles,Winners Quarters,Benoit McDonald Blanc,KindOfIce,Pokemon Trainer,Hero
Spring NUT '23 Week 2,Ultimate Singles,Winners Semis,Gob,Fluffiluff,Lucas,Ryu
Spring NUT '23 Week 2,Ultimate Singles,Winners Quarters,B3nan,Namelock,Pichu,Incineroar
Spring NUT '23 Week 2,Ultimate Singles,Winners Round 3,Yosi,onepiecefan2009,ROB,Captain Falcon
Spring NUT '23 Week 2,Ultimate Singles,Losers Semis,Benoit McDonald Blanc,KindOfIce,Pokemon Trainer,Hero
Spring NUT '23 Week 2,Ultimate Singles,Winners Round 1,omar,404,young link,Captain Falcon
Spring NUT '23 Week 2,Ultimate Singles,Winners Semis,B3nan,KindOfIce,Pichu,Hero
Spring NUT '23 Week 2,Ultimate Singles,Grand Finals,B3nan,Gob,Pichu,Lucas
Spring NUT '23 Week 2,Ultimate Singles,Winners Round 2,omar,caprisun,young link,Captain Falcon
Spring NUT '23 Week 2,Ultimate Singles,Winners Finals,B3nan,Gob,Pichu,Lucas
